# nlh_geant4_hard_elastic_table_schema 1
# projectile C
# release_status atomistic_validation_pending
# energy_variable total_projectile_kinetic_energy_eV
# projectile_mass_c2_eV 11177929244.639999
# minimum_turning_potential_eV 30
# source_manifest_sha256 15dcc658e2442559df510cddd4f870b6871b8398971da53f3e267a6b25def43e
# source_csv_sha256 a7152349687fe69db74b2075bc083d28a8e188e5708d58075b817faf3b2d4119
# hard_cross_section sigma_Pt_hard=pi*r_th_Pt^2*(1-V_min/E_cm_Pt) for E_cm_Pt>V_min, otherwise 0; equals pi*b_max_Pt^2; evaluate exactly
# pure_water_rate Sigma_P_hard=n_H2O*(2*sigma_PH_hard+sigma_PO_hard)
# interpolation theta_cm is linear in q=(b/b_max)^2 and log-log in total energy
# numerical_tolerance 0.005 combined interpolation bound; not physical accuracy
# target_H_mass_c2_eV 938783075.10366392
# target_H_threshold_radius_angstrom 0.45020459313040417
# target_H_energy_min_eV 1000
# target_H_energy_max_eV 100000000
# target_O_mass_c2_eV 14899168657.634283
# target_O_threshold_radius_angstrom 0.69745397961415412
# target_O_energy_min_eV 1000
# target_O_energy_max_eV 100000000
# columns target projectile_energy_eV area_quantile theta_cm_rad
H 1000 0 3.1415926535897931
H 1000 6.103515625e-05 3.1150152672437579
H 1000 0.0001220703125 3.1040079488288708
H 1000 0.000244140625 3.0884438005481338
H 1000 0.00048828125 3.0664399817584456
H 1000 0.0009765625 3.0353422571484137
H 1000 0.001953125 2.9914209428685554
H 1000 0.00390625 2.9294688236896649
H 1000 0.0078125 2.8423097884940494
H 1000 0.01171875 2.7759043154437779
H 1000 0.015625 2.72031322003112
H 1000 0.0234375 2.6280061870942801
H 1000 0.03125 2.5512498574765781
H 1000 0.046875 2.4250185898952434
H 1000 0.0625 2.3213747646676959
H 1000 0.078125 2.2323780849109056
H 1000 0.09375 2.1539073769447357
H 1000 0.125 2.0194837240957804
H 1000 0.15625 1.9064585137304151
H 1000 0.1875 1.8087376255474175
H 1000 0.21875 1.7226384505168628
H 1000 0.25 1.6457272196792307
H 1000 0.28125 1.5762937813475861
H 1000 0.3125 1.5130815373479249
H 1000 0.34375 1.4551351949180049
H 1000 0.375 1.4017088006696685
H 1000 0.4375 1.3061465987472753
H 1000 0.5 1.2228197385588953
H 1000 0.5625 1.1492464544147269
H 1000 0.625 1.0836279956100152
H 1000 0.6875 1.0246166485759649
H 1000 0.75 0.97117559998171687
H 1000 0.8125 0.92248979410719745
H 1000 0.875 0.87790683496163302
H 1000 0.9375 0.83689645581570726
H 1000 1 0.79902192349310619
H 1100.6941712522091 0 3.1415926535897931
H 1100.6941712522091 6.103515625e-05 3.1128536633271846
H 1100.6941712522091 0.0001220703125 3.1009513913825697
H 1100.6941712522091 0.000244140625 3.0841223407891505
H 1100.6941712522091 0.00048828125 3.0603318080466937
H 1100.6941712522091 0.0009765625 3.0267132957773697
H 1100.6941712522091 0.001953125 2.9792439756773343
H 1100.6941712522091 0.00390625 2.9123217265250907
H 1100.6941712522091 0.005859375 2.8611899996157795
H 1100.6941712522091 0.0078125 2.8182661964858386
H 1100.6941712522091 0.01171875 2.7467054436675551
H 1100.6941712522091 0.015625 2.6868795973142903
H 1100.6941712522091 0.0234375 2.5877341063558821
