T_eV,sigma_pwba,corr_stage1_mc,corr_stage2_rel_long,corr_stage3_rel_trans,corr_stage4_density,sigma_corrected,use_mc,use_rel_long,use_rel_trans,use_density_effect
10.0,1.0879196107187937e-21,4.149714026027383e-22,0.0,0.0,0.0,1.502891013321532e-21,1,0,0,0
10.233402121916418,1.2630205617405033e-21,3.2885144015220375e-22,0.0,0.0,0.0,1.591872001892707e-21,1,0,0,0
10.472251898884348,1.4331208131699739e-21,2.4243388104701523e-22,0.0,0.0,0.0,1.6755546942169891e-21,1,0,0,0
10.716676480328633,1.603614894331317e-21,1.551688110843195e-22,0.0,0.0,0.0,1.7587837054156366e-21,1,0,0,0
10.966805983368685,1.7762536011604663e-21,6.561959254633524e-23,0.0,0.0,0.0,1.8418731937068016e-21,1,0,0,0
11.222773562085077,1.9471600695067393e-21,-2.7581599150746344e-23,0.0,0.0,0.0,1.919578470355993e-21,1,0,0,0
11.484715478402896,2.128331654713015e-21,-8.342979533039938e-23,0.0,0.0,0.0,2.0449018593826156e-21,1,0,0,0
11.752771174629451,2.314564086010918e-21,-1.433242636629738e-22,0.0,0.0,0.0,2.171239822347944e-21,1,0,0,0
12.02708334768512,2.5060852178866786e-21,-2.0846476331226585e-22,0.0,0.0,0.0,2.2976204545744127e-21,1,0,0,0
12.307798025066651,2.7008395681559153e-21,-2.7847962995968567e-22,0.0,0.0,0.0,2.4223599381962296e-21,1,0,0,0
12.595064642583576,2.900577046204728e-21,-3.535086608199028e-22,0.0,0.0,0.0,2.5470683853848253e-21,1,0,0,0
12.889036123908928,3.0975378637108793e-21,-4.268869059544854e-22,0.0,0.0,0.0,2.670650957756394e-21,1,0,0,0
13.189868961986699,3.305246238087402e-21,-4.958959371811353e-22,0.0,0.0,0.0,2.8093503009062665e-21,1,0,0,0
13.497723302339425,3.5401670246973475e-21,-5.777089069579859e-22,0.0,0.0,0.0,2.9624581177393616e-21,1,0,0,0
13.812763028320095,3.77783432295488e-21,-6.699277087233384e-22,0.0,0.0,0.0,3.1079066142315418e-21,1,0,0,0
14.135155848353957,4.036735971074855e-21,-7.693591892566503e-22,0.0,0.0,0.0,3.267376781818205e-21,1,0,0,0
14.465073385216463,4.2964983222239795e-21,-8.7635381362334e-22,0.0,0.0,0.0,3.4201445086006395e-21,1,0,0,0
14.802691267395094,4.555641771375166e-21,-9.893068129911554e-22,0.0,0.0,0.0,3.566334958384011e-21,1,0,0,0
15.148189222583458,4.837953120676356e-21,-1.1126517499479192e-21,0.0,0.0,0.0,3.725301370728437e-21,1,0,0,0
15.501751173357704,5.111677281479777e-21,-1.2383274363316702e-21,0.0,0.0,0.0,3.8733498451481066e-21,1,0,0,0
