1.70000000 0 0.0000000000 0.00000000
1.70000000 0 0.0001450990 1.00000000
1.70000000 0 0.0005802229 2.00000000
1.70000000 0 0.0013048533 3.00000000
1.70000000 0 0.0023181279 4.00000000
1.70000000 0 0.0036188431 5.00000000
1.70000000 0 0.0052054577 6.00000000
1.70000000 0 0.0070760975 7.00000000
1.70000000 0 0.0092285610 8.00000000
1.70000000 0 0.0116603260 9.00000000
1.70000000 0 0.0143685568 10.00000000
1.70000000 0 0.0173501129 11.00000000
1.70000000 0 0.0206015580 12.00000000
1.70000000 0 0.0241191699 13.00000000
1.70000000 0 0.0278989510 14.00000000
1.70000000 0 0.0319366399 15.00000000
1.70000000 0 0.0362277230 16.00000000
1.70000000 0 0.0407674470 17.00000000
1.70000000 0 0.0455508317 18.00000000
1.70000000 0 0.0505726833 19.00000000
1.70000000 0 0.0558276083 20.00000000
1.70000000 0 0.0613100266 21.00000000
1.70000000 0 0.0670141862 22.00000000
1.70000000 0 0.0729341775 23.00000000
1.70000000 0 0.0790639470 24.00000000
1.70000000 0 0.0853973120 25.00000000
1.70000000 0 0.0919279748 26.00000000
1.70000000 0 0.0986495368 27.00000000
1.70000000 0 0.1055555125 28.00000000
1.70000000 0 0.1126393435 29.00000000
1.70000000 0 0.1198944116 30.00000000
1.70000000 0 0.1273140527 31.00000000
1.70000000 0 0.1348915689 32.00000000
1.70000000 0 0.1426202419 33.00000000
1.70000000 0 0.1504933446 34.00000000
1.70000000 0 0.1585041530 35.00000000
1.70000000 0 0.1666459576 36.00000000
1.70000000 0 0.1749120736 37.00000000
1.70000000 0 0.1832958521 38.00000000
1.70000000 0 0.1917906890 39.00000000
1.70000000 0 0.2003900349 40.00000000
1.70000000 0 0.2090874035 41.00000000
1.70000000 0 0.2178763795 42.00000000
1.70000000 0 0.2267506269 43.00000000
1.70000000 0 0.2357038957 44.00000000
1.70000000 0 0.2447300285 45.00000000
1.70000000 0 0.2538229664 46.00000000
1.70000000 0 0.2629767549 47.00000000
1.70000000 0 0.2721855486 48.00000000
1.70000000 0 0.2814436157 49.00000000
1.70000000 0 0.2907453422 50.00000000
1.70000000 0 0.3000852353 51.00000000
1.70000000 0 0.3094579263 52.00000000
1.70000000 0 0.3188581739 53.00000000
1.70000000 0 0.3282808655 54.00000000
1.70000000 0 0.3377210198 55.00000000
1.70000000 0 0.3471737877 56.00000000
1.70000000 0 0.3566344536 57.00000000
1.70000000 0 0.3660984360 58.00000000
1.70000000 0 0.3755612882 59.00000000
1.70000000 0 0.3850186977 60.00000000
1.70000000 0 0.3944664866 61.00000000
1.70000000 0 0.4039006107 62.00000000
1.70000000 0 0.4133171590 63.00000000
1.70000000 0 0.4227123525 64.00000000
