density_g_cm3,seed,pressure_mean_gpa,pressure_ci_low_gpa,pressure_ci_high_gpa,ambient_pressure_compatibility_pass,chill_ih_plus_ic_fraction,first_s_oo_peak_a_inverse
0.94,1000,-0.6080343449480934,-0.610031317089458,-0.6060373728067288,False,0.007080078125,1.82
0.94,2000,-0.6052835763906267,-0.6072723147000638,-0.6032948380811896,False,0.008544921875,1.83
0.94,3000,-0.5804581232148267,-0.5823812565034125,-0.5785349899262409,False,0.0067138671875,1.83
0.98,1000,-0.34986469635985334,-0.3516952520182375,-0.3480341407014692,False,0.00537109375,1.86
0.98,2000,-0.3495192922964134,-0.3515203492841362,-0.3475182353086905,False,0.0059814453125,1.86
0.98,3000,-0.2929124350755467,-0.29459798102644186,-0.29122688912465156,False,0.00537109375,1.86
1.02,1000,-0.007263903321562287,-0.009173974035229371,-0.005353832607895202,False,0.00390625,1.8900000000000001
1.02,2000,-0.014885206524479899,-0.017019972530219543,-0.012750440518740256,False,0.005615234375,1.8900000000000001
1.02,3000,0.06271065643314093,0.06028340710928782,0.06513790575699405,False,0.0062255859375,1.8900000000000001
