1.00000000000e+01	0.00000000000e+00	0.00000000000e+00
1.00000000000e+01	6.78395950213e-12	1.52311496748e-12
1.00000000000e+01	1.05999367221e-11	2.37987407559e-12
1.00000000000e+01	1.52639088798e-11	3.42692541011e-12
1.00000000000e+01	2.07758759752e-11	4.66449101566e-12
1.00000000000e+01	2.71358380083e-11	6.09234884763e-12
1.00000000000e+01	3.43437949792e-11	7.71060992832e-12
1.00000000000e+01	4.23997468878e-11	9.51927425774e-12
1.00000000000e+01	5.13036937340e-11	1.15183418359e-11
1.00000000000e+01	6.10556355179e-11	1.37078126627e-11
1.00000000000e+01	7.16555722395e-11	1.60875757160e-11
1.00000000000e+01	8.31035038986e-11	1.86578530403e-11
1.00000000000e+01	9.53994304954e-11	2.14184225911e-11
1.00000000000e+01	1.08543352030e-10	2.43693953905e-11
1.00000000000e+01	1.22535268502e-10	2.75107714387e-11
1.00000000000e+01	1.37375179911e-10	3.08425507356e-11
1.00000000000e+01	1.53063086258e-10	3.43646222589e-11
1.00000000000e+01	1.69598987542e-10	3.80772080533e-11
1.00000000000e+01	1.86982883764e-10	4.19800860740e-11
1.00000000000e+01	2.05214774923e-10	4.60733673435e-11
1.00000000000e+01	2.24294661019e-10	5.03570518617e-11
1.00000000000e+01	2.44222542053e-10	5.48311396287e-11
1.00000000000e+01	2.64998418024e-10	5.94956306443e-11
1.00000000000e+01	2.86622288932e-10	6.43504138864e-11
1.00000000000e+01	3.09094154778e-10	6.93957113995e-11
1.00000000000e+01	3.32414015560e-10	7.46313011390e-11
1.00000000000e+01	3.56581871280e-10	8.00572941273e-11
1.00000000000e+01	3.81597721936e-10	8.56736903643e-11
1.00000000000e+01	4.07461567530e-10	9.14803788277e-11
1.00000000000e+01	4.34173408060e-10	9.74775815621e-11
1.00000000000e+01	4.61733243528e-10	1.03665076523e-10
1.00000000000e+01	4.90141073932e-10	1.10043085755e-10
1.00000000000e+01	5.19396899273e-10	1.16611387213e-10
1.00000000000e+01	5.49500719550e-10	1.23370091920e-10
1.00000000000e+01	5.80452534764e-10	1.30319199876e-10
1.00000000000e+01	6.12252344915e-10	1.37458600058e-10
1.00000000000e+01	6.44900150002e-10	1.44788514511e-10
1.00000000000e+01	6.78395950026e-10	1.52308721191e-10
1.00000000000e+01	1.05999367174e-09	2.37982411555e-10
1.00000000000e+01	1.52639088701e-09	3.42694650435e-10
1.00000000000e+01	2.07758759572e-09	4.66445437830e-10
1.00000000000e+01	2.71358379778e-09	6.09234884763e-10
1.00000000000e+01	3.43437949303e-09	7.71062880212e-10
1.00000000000e+01	4.23997468134e-09	9.51929535198e-10
1.00000000000e+01	5.13036936252e-09	1.15183462768e-09
1.00000000000e+01	6.10556353640e-09	1.37077849072e-09
1.00000000000e+01	7.16555720276e-09	1.60876079125e-09
1.00000000000e+01	8.31035036138e-09	1.86578175132e-09
1.00000000000e+01	9.53994301202e-09	2.14184137093e-09
1.00000000000e+01	1.08543351544e-08	2.43693953905e-09
1.00000000000e+01	1.22535267883e-08	2.75107625569e-09
1.00000000000e+01	1.37375179134e-08	3.08425152085e-09
1.00000000000e+01	1.53063085294e-08	3.43646544554e-09
1.00000000000e+01	1.69598986359e-08	3.80771791875e-09
1.00000000000e+01	1.86982882325e-08	4.19800905149e-09
1.00000000000e+01	2.05214773191e-08	4.60733873275e-09
1.00000000000e+01	2.24294658950e-08	5.03570696253e-09
1.00000000000e+01	2.44222539601e-08	5.48311385185e-09
1.00000000000e+01	2.64998415137e-08	5.94955928968e-09
1.00000000000e+01	2.86622285555e-08	6.43504338704e-09
1.00000000000e+01	3.09094150850e-08	6.93956592190e-09
1.00000000000e+01	3.32414011018e-08	7.46312722733e-09
1.00000000000e+01	3.56581866054e-08	8.00572697024e-09
1.00000000000e+01	3.81597715952e-08	8.56736537269e-09
1.00000000000e+01	4.07461560707e-08	9.14804243468e-09
1.00000000000e+01	4.34173400314e-08	9.74775793416e-09
1.00000000000e+01	4.61733234768e-08	1.03665120932e-08
1.00000000000e+01	4.90141064061e-08	1.10043049117e-08
1.00000000000e+01	5.19396888189e-08	1.16611362788e-08
1.00000000000e+01	5.49500707145e-08	1.23370061944e-08
1.00000000000e+01	5.80452520923e-08	1.30319146585e-08
1.00000000000e+01	6.12252329516e-08	1.37458617822e-08
1.00000000000e+01	6.44900132918e-08	1.44788474543e-08
1.00000000000e+01	6.78395931121e-08	1.52308717860e-08
1.00000000000e+01	1.05999362494e-07	2.37982371587e-08
1.00000000000e+01	1.52639078987e-07	3.42694614908e-08
1.00000000000e+01	2.07758741608e-07	4.66445446712e-08
1.00000000000e+01	2.71358349194e-07	6.09234866999e-08
1.00000000000e+01	3.43437900402e-07	7.71062876881e-08
1.00000000000e+01	4.23997393712e-07	9.51929475246e-08
1.00000000000e+01	5.13036827425e-07	1.15183466098e-07
1.00000000000e+01	6.10556199661e-07	1.37077843410e-07
1.00000000000e+01	7.16555508364e-07	1.60876079458e-07
1.00000000000e+01	8.31034751297e-07	1.86578174244e-07
1.00000000000e+01	9.53993923476e-07	2.14184127545e-07
1.00000000000e+01	1.08543302214e-06	2.43693939472e-07
1.00000000000e+01	1.22535204690e-06	2.75107609915e-07
1.00000000000e+01	1.37375099482e-06	3.08425138873e-07
1.00000000000e+01	1.53062986276e-06	3.43646526124e-07
1.00000000000e+01	1.69598864741e-06	3.80771771780e-07
1.00000000000e+01	1.86982734529e-06	4.19800875617e-07
1.00000000000e+01	2.05214595272e-06	4.60733837637e-07
1.00000000000e+01	2.24294446586e-06	5.03570657839e-07
1.00000000000e+01	2.44222286699e-06	5.48311336002e-07
1.00000000000e+01	2.64998115132e-06	5.94955872124e-07
1.00000000000e+01	2.86621910953e-06	6.43504266096e-07
1.00000000000e+01	3.09093672867e-06	6.93956517805e-07
1.00000000000e+01	3.32413421368e-06	7.46312627142e-07
1.00000000000e+01	3.56581155964e-06	8.00572594106e-07
1.00000000000e+01	3.81596876147e-06	8.56736418475e-07
1.00000000000e+01	4.07460581387e-06	9.14804100249e-07
1.00000000000e+01	4.34172271139e-06	9.74775639206e-07
1.00000000000e+01	4.61731944840e-06	1.03665103535e-06
1.00000000000e+01	4.90139601909e-06	1.10043028845e-06
1.00000000000e+01	5.19395241745e-06	1.16611339840e-06
1.00000000000e+01	5.49498863732e-06	1.23370036509e-06
1.00000000000e+01	5.80450467235e-06	1.30319118852e-06
1.00000000000e+01	6.12250051600e-06	1.37458586835e-06
1.00000000000e+01	6.44897615488e-06	1.44788440459e-06
1.00000000000e+01	6.78393158195e-06	1.52308679702e-06
1.00000000000e+01	1.05998677737e-05	2.37982278062e-06
1.00000000000e+01	1.52637685610e-05	3.42694420596e-06
1.00000000000e+01	2.07756214624e-05	4.66445087388e-06
1.00000000000e+01	2.71353801976e-05	6.09234254867e-06
1.00000000000e+01	3.43430234694e-05	7.71061895855e-06
1.00000000000e+01	4.23985530863e-05	9.51927979531e-06
1.00000000000e+01	5.13019485324e-05	1.15183247147e-05
1.00000000000e+01	6.10531886612e-05	1.37077533361e-05
1.00000000000e+01	7.16522483587e-05	1.60875652427e-05
1.00000000000e+01	8.30990903041e-05	1.86577599813e-05
1.00000000000e+01	9.53936189199e-05	2.14183370628e-05
1.00000000000e+01	1.08535808783e-04	2.43692959615e-05
1.00000000000e+01	1.22525675710e-04	2.75106361155e-05
1.00000000000e+01	1.37363166898e-04	3.08423569269e-05
1.00000000000e+01	1.53048242000e-04	3.43644577612e-05
1.00000000000e+01	1.69580797208e-04	3.80769379479e-05
1.00000000000e+01	1.86960786659e-04	4.19797967802e-05
1.00000000000e+01	2.05188205172e-04	4.60730335152e-05
1.00000000000e+01	2.24263005146e-04	5.03566473734e-05
1.00000000000e+01	2.44185053977e-04	5.48306375394e-05
1.00000000000e+01	2.64954275053e-04	5.94950031614e-05
1.00000000000e+01	2.86570718133e-04	6.43497433512e-05
1.00000000000e+01	3.09034229831e-04	6.93948571848e-05
1.00000000000e+01	3.32344724795e-04	7.46303437015e-05
1.00000000000e+01	3.56502230106e-04	8.00562019045e-05
1.00000000000e+01	3.81506558109e-04	8.56724307610e-05
1.00000000000e+01	4.07357636374e-04	9.14790292016e-05
1.00000000000e+01	4.34055519747e-04	9.74759961208e-05
1.00000000000e+01	4.61600002387e-04	1.03663330377e-04
1.00000000000e+01	4.89990979890e-04	1.10041030792e-04
1.00000000000e+01	5.19228364903e-04	1.16609096151e-04
1.00000000000e+01	5.49312099531e-04	1.23367525205e-04
1.00000000000e+01	5.80242228479e-04	1.30316316667e-04
1.00000000000e+01	6.12018479443e-04	1.37455469213e-04
1.00000000000e+01	6.44640753883e-04	1.44784981484e-04
1.00000000000e+01	6.78108997863e-04	1.52304852085e-04
1.00000000000e+01	8.20438546686e-04	1.84287888612e-04
1.00000000000e+01	9.76294512417e-04	2.19316537360e-04
1.00000000000e+01	1.14566941447e-03	2.57390691626e-04
1.00000000000e+01	1.32855417567e-03	2.98510235430e-04
1.00000000000e+01	1.52493919427e-03	3.42675043513e-04
1.00000000000e+01	1.73481495837e-03	3.89884981343e-04
1.00000000000e+01	1.95817082910e-03	4.40139905110e-04
1.00000000000e+01	2.19499608128e-03	4.93439661729e-04
1.00000000000e+01	2.44527833626e-03	5.49784088838e-04
1.00000000000e+01	2.70900412451e-03	6.09173014804e-04
1.00000000000e+01	2.98616180634e-03	6.71606258718e-04
1.00000000000e+01	3.27673660060e-03	7.37083630396e-04
1.00000000000e+01	3.58071300430e-03	8.05604930384e-04
1.00000000000e+01	3.89807757187e-03	8.77169949953e-04
1.00000000000e+01	4.22881367757e-03	9.51778471105e-04
1.00000000000e+01	4.57290367722e-03	1.02943026657e-03
1.00000000000e+01	4.93033063707e-03	1.11012509980e-03
1.00000000000e+01	5.30107738135e-03	1.19386272500e-03
1.00000000000e+01	5.68512447062e-03	1.28064288707e-03
1.00000000000e+01	6.08245297342e-03	1.37046532168e-03
1.00000000000e+01	6.49304334423e-03	1.46332975521e-03
1.00000000000e+01	6.91687427198e-03	1.55923590478e-03
1.00000000000e+01	7.35392352422e-03	1.65818347823e-03
1.00000000000e+01	7.80416955979e-03	1.76017217417e-03
1.00000000000e+01	8.26759024841e-03	1.86520168191e-03
1.00000000000e+01	8.74416325359e-03	1.97327168151e-03
1.00000000000e+01	9.23386558195e-03	2.08438184379e-03
1.00000000000e+01	9.73666937299e-03	2.19853183026e-03
1.00000000000e+01	1.02525500177e-02	2.31572129323e-03
1.00000000000e+01	1.07814825788e-02	2.43594987569e-03
1.00000000000e+01	1.13234416112e-02	2.55921721143e-03
1.00000000000e+01	1.18784006721e-02	2.68552292494e-03
1.00000000000e+01	1.24463305321e-02	2.81486663147e-03
1.00000000000e+01	1.30272015025e-02	2.94724793703e-03
1.00000000000e+01	1.36209856606e-02	3.08266643835e-03
1.00000000000e+01	1.42276540711e-02	3.22112172293e-03
1.00000000000e+01	1.48471751830e-02	3.36261336900e-03
1.00000000000e+01	1.54795187454e-02	3.50714094557e-03
1.00000000000e+01	1.61246540270e-02	3.65470401237e-03
1.00000000000e+01	1.67825473313e-02	3.80530211990e-03
1.00000000000e+01	1.74531673424e-02	3.95893480942e-03
1.00000000000e+01	1.81364814252e-02	4.11560161293e-03
1.00000000000e+01	1.88324534891e-02	4.27530205319e-03
1.00000000000e+01	1.95410483215e-02	4.43803564374e-03
1.00000000000e+01	2.02622313831e-02	4.60380188885e-03
1.00000000000e+01	2.09959674015e-02	4.77260028358e-03
1.00000000000e+01	2.17422215948e-02	4.94443031373e-03
1.00000000000e+01	2.25009575977e-02	5.11929145588e-03
1.00000000000e+01	2.32721334757e-02	5.29718317738e-03
1.00000000000e+01	2.40557127209e-02	5.47810493633e-03
1.00000000000e+01	2.48516571233e-02	5.66205618162e-03
1.00000000000e+01	2.56599280167e-02	5.84903635290e-03
1.00000000000e+01	2.64804869540e-02	6.03904488059e-03
1.00000000000e+01	2.73132920203e-02	6.23208118589e-03
1.00000000000e+01	2.81582997176e-02	6.42814468079e-03
1.00000000000e+01	2.90154691107e-02	6.62723476803e-03
1.00000000000e+01	2.98847597701e-02	6.82935084117e-03
1.00000000000e+01	3.07661273096e-02	7.03449228451e-03
1.00000000000e+01	3.16595288441e-02	7.24265847316e-03
1.00000000000e+01	3.25649223869e-02	7.45384877301e-03
1.00000000000e+01	3.34822618349e-02	7.66806254073e-03
1.00000000000e+01	3.44115027078e-02	7.88529912380e-03
1.00000000000e+01	3.53526004163e-02	8.10555786048e-03
1.00000000000e+01	3.63055071835e-02	8.32883807981e-03
1.00000000000e+01	3.72701742710e-02	8.55513910165e-03
1.00000000000e+01	3.82465565795e-02	8.78446023664e-03
1.00000000000e+01	3.92346074556e-02	9.01680078624e-03
1.00000000000e+01	4.02342795443e-02	9.25216004269e-03
1.00000000000e+01	4.12455258663e-02	9.49053728905e-03
1.00000000000e+01	4.22682912788e-02	9.73193179918e-03
1.00000000000e+01	4.33025268661e-02	9.97634283775e-03
1.00000000000e+01	4.43481831020e-02	1.02237696602e-02
1.00000000000e+01	4.54052125144e-02	1.04742115130e-02
1.00000000000e+01	4.64735648953e-02	1.07276676330e-02
1.00000000000e+01	4.75531851330e-02	1.09841372483e-02
1.00000000000e+01	4.86440197078e-02	1.12436195776e-02
1.00000000000e+01	4.97460170341e-02	1.15061138305e-02
1.00000000000e+01	5.08591249669e-02	1.17716192073e-02
1.00000000000e+01	5.19832873129e-02	1.20401348994e-02
1.00000000000e+01	5.31184519308e-02	1.23116600887e-02
1.00000000000e+01	5.42645653878e-02	1.25861939481e-02
1.00000000000e+01	5.54215690932e-02	1.28637356414e-02
1.00000000000e+01	5.65894106899e-02	1.31442843231e-02
1.00000000000e+01	5.77680350571e-02	1.34278391387e-02
1.00000000000e+01	5.89573822392e-02	1.37143992243e-02
1.00000000000e+01	6.01573986131e-02	1.40039637071e-02
1.00000000000e+01	6.13680228591e-02	1.42965317049e-02
1.00000000000e+01	6.25891983711e-02	1.45921023267e-02
1.00000000000e+01	6.38208705953e-02	1.48906746719e-02
1.00000000000e+01	6.50629768434e-02	1.51922478312e-02
1.00000000000e+01	6.82134439492e-02	1.59593032396e-02
1.00000000000e+01	7.14278203106e-02	1.67450933654e-02
1.00000000000e+01	7.47051597912e-02	1.75496032483e-02
1.00000000000e+01	7.80445036625e-02	1.83728175717e-02
1.00000000000e+01	8.14448607816e-02	1.92147206627e-02
