cell_id,lat_deg,lon_w_deg,hemisphere,e_min_mev,e_max_mev,is_valid,n_assigned_bins
224,45,174,leading,100.536662,100,0,0
225,45,186,trailing,0.00473546711,0.0187562791,1,211
226,45,198,trailing,0.00698921888,0.027429577,1,211
227,45,210,trailing,0.00988773758,0.0405792627,1,218
228,45,222,trailing,0.01,0.0570660995,1,268
229,45,234,trailing,0.01,0.0752381692,1,310
230,45,246,trailing,0.01,0.0925727663,1,342
231,45,258,trailing,0.01,0.105320098,1,362
232,45,270,trailing,0.01,0.110286222,1,369
233,45,282,trailing,0.01,0.105320098,1,362
234,45,294,trailing,0.01,0.0925727663,1,342
235,45,306,trailing,0.01,0.0752381692,1,310
236,45,318,trailing,0.01,0.0570660995,1,268
237,45,330,trailing,0.00988773758,0.0405792627,1,218
238,45,342,trailing,0.00698921888,0.027429577,1,211
239,45,354,trailing,0.00473546711,0.0187562791,1,211
240,39,6,leading,91.3338221,100,1,14
241,39,18,leading,76.2927604,100,1,42
242,39,30,leading,65.8420628,100,1,64
243,39,42,leading,58.8690998,100,1,82
244,39,54,leading,54.3962532,100,1,94
245,39,66,leading,51.5330378,100,1,102
246,39,78,leading,50.0281834,100,1,107
247,39,90,leading,49.5175113,100,1,108
248,39,102,leading,50.0281834,100,1,107
249,39,114,leading,51.5330378,100,1,102
250,39,126,leading,54.3962532,100,1,94
251,39,138,leading,58.8690998,100,1,82
252,39,150,leading,65.8420628,100,1,64
253,39,162,leading,76.2927604,100,1,42
254,39,174,leading,91.3338221,100,1,14
255,39,186,trailing,0.00553706919,0.0251602826,1,233
256,39,198,trailing,0.00925492237,0.040634605,1,228
257,39,210,trailing,0.01,0.0664371824,1,291
258,39,222,trailing,0.01,0.102448417,1,357
259,39,234,trailing,0.01,0.146751751,1,412
260,39,246,trailing,0.01,0.193483227,1,455
261,39,258,trailing,0.01,0.232639439,1,483
262,39,270,trailing,0.01,0.249286264,1,494
263,39,282,trailing,0.01,0.232639439,1,483
264,39,294,trailing,0.01,0.193483227,1,455
265,39,306,trailing,0.01,0.146751751,1,412
266,39,318,trailing,0.01,0.102448417,1,357
267,39,330,trailing,0.01,0.0664371824,1,291
268,39,342,trailing,0.00925492237,0.040634605,1,228
269,39,354,trailing,0.00553706919,0.0251602826,1,233
270,33,6,leading,79.914387,100,1,35
271,33,18,leading,64.964377,100,1,67
272,33,30,leading,55.2782217,100,1,91
273,33,42,leading,49.2420164,100,1,109
274,33,54,leading,45.5387926,100,1,121
275,33,66,leading,43.3149398,100,1,129
276,33,78,leading,42.0945798,100,1,133
277,33,90,leading,41.7983392,100,1,134
278,33,102,leading,42.0945798,100,1,133
279,33,114,leading,43.3149398,100,1,129
280,33,126,leading,45.5387926,100,1,121
281,33,138,leading,49.2420164,100,1,109
282,33,150,leading,55.2782217,100,1,91
283,33,162,leading,64.964377,100,1,67
284,33,174,leading,79.914387,100,1,35
285,33,186,trailing,0.00693129409,0.0368385719,1,257
286,33,198,trailing,0.01,0.0694128007,1,298
287,33,210,trailing,0.01,0.1301839,1,394
288,33,222,trailing,0.01,0.240264908,1,488
289,33,234,trailing,0.01,0.431337691,1,577
290,33,246,trailing,0.01,0.74633957,1,661
291,33,258,trailing,0.01,1.13508272,1,726
292,33,270,trailing,0.01,1.33987268,1,751
293,33,282,trailing,0.01,1.13508272,1,726
294,33,294,trailing,0.01,0.74633957,1,661
295,33,306,trailing,0.01,0.431337691,1,577
296,33,318,trailing,0.01,0.240264908,1,488
297,33,330,trailing,0.01,0.1301839,1,394
298,33,342,trailing,0.01,0.0694128007,1,298
299,33,354,trailing,0.00693129409,0.0368385719,1,257
300,27,6,leading,68.055921,100,1,59
301,27,18,leading,53.5946476,100,1,96
302,27,30,leading,45.4089412,100,1,121
303,27,42,leading,40.6940619,100,1,138
304,27,54,leading,37.9233545,100,1,149
305,27,66,leading,36.2002574,100,1,156
306,27,78,leading,35.3867043,100,1,160
307,27,90,leading,35.1536872,100,1,161
308,27,102,leading,35.3867043,100,1,160
309,27,114,leading,36.2002574,100,1,156
310,27,126,leading,37.9233545,100,1,149
311,27,138,leading,40.6940619,100,1,138
312,27,150,leading,45.4089412,100,1,121
313,27,162,leading,53.5946476,100,1,96
314,27,174,leading,68.055921,100,1,59
315,27,186,trailing,0.00956078298,0.0616479309,1,287
316,27,198,trailing,0.01,0.152065747,1,418
317,27,210,trailing,0.01,0.42315785,1,575
318,27,222,trailing,0.01,1.671681,1,785
319,27,234,trailing,0.01,4.20060317,1,926
320,27,246,trailing,0.01,5.93453497,1,979
321,27,258,trailing,0.01,6.87731172,1,1002
322,27,270,trailing,0.01,7.20159534,1,1009
323,27,282,trailing,0.01,6.87731172,1,1002
324,27,294,trailing,0.01,5.93453497,1,979
325,27,306,trailing,0.01,4.20060317,1,926
326,27,318,trailing,0.01,1.671681,1,785
327,27,330,trailing,0.01,0.42315785,1,575
328,27,342,trailing,0.01,0.152065747,1,418
329,27,354,trailing,0.00956078298,0.0616479309,1,287
330,21,6,leading,55.866538,100,1,90
331,21,18,leading,43.0119355,100,1,130
332,21,30,leading,36.7715827,100,1,154
333,21,42,leading,33.4150747,100,1,168
334,21,54,leading,31.4773793,100,1,178
335,21,66,leading,30.4609673,100,1,183
336,21,78,leading,29.8608011,100,1,186
337,21,90,leading,29.7169284,100,1,186
338,21,102,leading,29.8608011,100,1,186
339,21,114,leading,30.4609673,100,1,183
340,21,126,leading,31.4773793,100,1,178
341,21,138,leading,33.4150747,100,1,168
342,21,150,leading,36.7715827,100,1,154
343,21,162,leading,43.0119355,100,1,130
344,21,174,leading,55.866538,100,1,90
345,21,186,trailing,0.01,0.132308481,1,397
346,21,198,trailing,0.01,0.837177537,1,679
347,21,210,trailing,0.01,4.98136855,1,952
348,21,222,trailing,0.01,8.57959393,1,1035
